"filename", "language", "Shell Script", "C++", "Python", "Markdown", "C", "Makefile", "XML", "YAML", "comment", "blank", "total"
"/home/vash/anduril-1-vash/hw/hank/anduril.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 13, 9, 31
"/home/vash/anduril-1-vash/hw/hank/emisar-2ch/anduril.h", "C++", 0, 44, 0, 0, 0, 0, 0, 0, 37, 21, 102
"/home/vash/anduril-1-vash/hw/hank/emisar-2ch/fet/anduril.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 41, 23, 112
"/home/vash/anduril-1-vash/hw/hank/emisar-2ch/fet/hwdef.c", "C", 0, 0, 0, 0, 152, 0, 0, 0, 13, 42, 207
"/home/vash/anduril-1-vash/hw/hank/emisar-2ch/fet/hwdef.h", "C++", 0, 88, 0, 0, 0, 0, 0, 0, 64, 27, 179
"/home/vash/anduril-1-vash/hw/hank/emisar-2ch/fet/joined/README.md", "Markdown", 0, 0, 0, 16, 0, 0, 0, 0, 0, 10, 26
"/home/vash/anduril-1-vash/hw/hank/emisar-2ch/fet/joined/anduril.h", "C++", 0, 47, 0, 0, 0, 0, 0, 0, 44, 23, 114
"/home/vash/anduril-1-vash/hw/hank/emisar-2ch/fet/joined/hwdef.c", "C", 0, 0, 0, 0, 80, 0, 0, 0, 61, 41, 182
"/home/vash/anduril-1-vash/hw/hank/emisar-2ch/fet/joined/hwdef.h", "C++", 0, 89, 0, 0, 0, 0, 0, 0, 75, 28, 192
"/home/vash/anduril-1-vash/hw/hank/emisar-2ch/hwdef.c", "C", 0, 0, 0, 0, 142, 0, 0, 0, 11, 41, 194
"/home/vash/anduril-1-vash/hw/hank/emisar-2ch/hwdef.h", "C++", 0, 85, 0, 0, 0, 0, 0, 0, 68, 27, 180
"/home/vash/anduril-1-vash/hw/hank/emisar-d1/anduril.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 6, 4, 19
"/home/vash/anduril-1-vash/hw/hank/emisar-d18/219/anduril.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 5, 4, 17
"/home/vash/anduril-1-vash/hw/hank/emisar-d18/anduril.h", "C++", 0, 29, 0, 0, 0, 0, 0, 0, 18, 14, 61
"/home/vash/anduril-1-vash/hw/hank/emisar-d18/hwdef.h", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 23, 27, 99
"/home/vash/anduril-1-vash/hw/hank/emisar-d1s/anduril.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 8, 5, 22
